claim_id,policy_id,product_type,loss_date,peril,status,reserve,paid,report_date,close_date,severity_band
CL-0000001,P-000007,renters,2024-09-10,theft,closed,0.0,835.86,2024-09-10,2024-09-29,high
CL-0000002,P-000008,auto,2025-05-19,comprehensive,closed,0.0,2342.97,2025-05-19,2025-06-01,low
CL-0000003,P-000008,auto,2024-07-26,collision,closed,0.0,7521.69,2024-07-26,2024-08-13,low
CL-0000004,P-000014,auto,2025-01-08,collision,denied,0.0,0.0,2025-01-08,2025-02-08,high
CL-0000005,P-000020,auto,2024-10-27,collision,closed,0.0,1733.96,2024-10-27,2024-11-17,medium
CL-0000006,P-000023,auto,2024-07-12,collision,closed,0.0,3287.86,2024-07-12,2024-07-16,medium
CL-0000007,P-000026,homeowners,2024-02-14,theft,denied,0.0,0.0,2024-02-14,2024-02-20,high
CL-0000008,P-000037,homeowners,2025-06-03,hail,open,2529.32,4331.11,2025-06-03,,low
CL-0000009,P-000042,renters,2025-07-25,theft,closed,0.0,942.26,2025-07-25,2025-08-09,low
CL-0000010,P-000051,homeowners,2025-06-06,hail,closed,0.0,1518.04,2025-06-06,2025-06-19,medium
CL-0000011,P-000072,homeowners,2024-12-24,theft,closed,0.0,736.17,2024-12-24,2025-01-10,medium
CL-0000012,P-000074,auto,2025-01-08,comprehensive,denied,0.0,0.0,2025-01-08,2025-01-17,high
CL-0000013,P-000081,homeowners,2025-07-08,hail,closed,0.0,2634.55,2025-07-08,2025-07-15,medium
CL-0000014,P-000086,homeowners,2024-04-28,water_damage,closed,0.0,3584.48,2024-04-28,2024-05-03,cat
CL-0000015,P-000094,auto,2025-10-11,collision,closed,0.0,2697.12,2025-10-11,2025-10-27,high
CL-0000016,P-000097,auto,2025-09-02,collision,closed,0.0,853.97,2025-09-02,2025-10-04,medium
CL-0000017,P-000098,renters,2025-10-25,theft,open,297.92,582.89,2025-10-25,,medium
CL-0000018,P-000107,auto,2024-08-13,collision,closed,0.0,306.9,2024-08-13,2024-09-01,low
CL-0000019,P-000107,auto,2025-09-18,collision,open,2732.33,4753.2,2025-09-18,,high
CL-0000020,P-000113,auto,2025-04-13,theft,closed,0.0,1528.63,2025-04-13,2025-04-29,medium
CL-0000021,P-000115,auto,2024-10-04,collision,closed,0.0,1510.48,2024-10-04,2024-10-22,high
CL-0000022,P-000117,homeowners,2024-12-15,water_damage,closed,0.0,1125.88,2024-12-15,2024-12-31,low
CL-0000023,P-000117,homeowners,2025-03-22,hail,closed,0.0,1240.94,2025-03-22,2025-04-05,high
CL-0000024,P-000122,auto,2025-03-28,comprehensive,closed,0.0,2155.59,2025-03-28,2025-04-25,low
CL-0000025,P-000122,auto,2024-12-28,collision,open,1981.49,8348.76,2024-12-28,,medium
CL-0000026,P-000132,auto,2024-12-09,theft,open,143.67,253.39,2024-12-09,,high
CL-0000027,P-000139,auto,2024-06-28,collision,closed,0.0,1668.13,2024-06-28,2024-08-15,high
CL-0000028,P-000140,auto,2025-07-27,collision,open,1575.0,1710.59,2025-07-27,,medium
CL-0000029,P-000143,auto,2024-05-12,collision,denied,0.0,0.0,2024-05-12,2024-05-22,low
CL-0000030,P-000150,homeowners,2025-12-22,theft,open,2970.23,4193.92,2025-12-22,,low
CL-0000031,P-000155,auto,2024-10-14,collision,open,366.05,428.95,2024-10-14,,medium
CL-0000032,P-000174,homeowners,2025-04-11,water_damage,closed,0.0,2715.49,2025-04-11,2025-04-24,low
CL-0000033,P-000174,homeowners,2025-07-14,water_damage,closed,0.0,2099.14,2025-07-14,2025-07-28,medium
CL-0000034,P-000181,auto,2025-01-17,collision,closed,0.0,6524.77,2025-01-17,2025-01-20,high
