county_code,county_name,city,postal_code,crime_risk,hail_risk,flood_risk,wind_risk,fire_risk,dist_fire_station_km,dist_hydrant_km,dist_police_km,dist_coast_km,dist_danube_km
TR,Teleorman,Turnu Magurele,494990,0.471,0.371,0.329,0.429,0.377,1.29,2.87,14.39,414.81,334.42
HR,Harghita,Miercurea Ciuc,304514,0.305,0.521,0.384,0.494,0.485,0.1,7.5,4.57,322.69,46.21
BV,Brasov,Sacele,714743,0.322,0.684,0.332,0.457,0.446,0.2,2.62,2.9,307.32,338.09
SJ,Salaj,Zalau,315601,0.354,0.495,0.355,0.386,0.351,0.08,5.16,9.05,446.69,318.87
HD,Hunedoara,Petrosani,869571,0.332,0.491,0.287,0.446,0.421,3.73,3.38,12.69,96.03,191.59
CS,Caras-Severin,Caransebes,925886,0.146,0.332,0.161,0.195,0.21,0.24,1.91,11.89,503.29,91.78
AR,Arad,Arad,944245,0.351,0.427,0.321,0.359,0.35,0.63,5.11,4.6,268.14,62.43
BN,Bistrita-Nasaud,Bistrita,337172,0.171,0.337,0.185,0.209,0.257,0.22,1.05,2.47,317.0,104.87
CT,Constanta,Medgidia,696967,0.41,0.226,0.692,0.647,0.373,0.09,7.5,2.24,2.21,12.86
CT,Constanta,Mangalia,990714,0.357,0.22,0.641,0.541,0.395,0.53,4.99,1.14,23.7,2.99
IS,Iasi,Pascani,958394,0.548,0.424,0.332,0.372,0.349,0.15,0.3,2.42,152.93,234.99
BH,Bihor,Oradea,388611,0.421,0.374,0.341,0.427,0.378,0.41,0.74,3.27,511.49,329.05
CT,Constanta,Constanta,262631,0.454,0.234,0.628,0.556,0.396,0.09,3.41,8.09,16.05,8.58
TR,Teleorman,Alexandria,104776,0.446,0.337,0.329,0.403,0.325,0.31,7.5,5.9,391.68,353.59
BZ,Buzau,Ramnicul Sarat,940934,0.377,0.433,0.428,0.375,0.335,0.15,3.17,0.35,441.02,245.01
BZ,Buzau,Buzau,610553,0.436,0.426,0.402,0.333,0.333,0.31,2.12,11.1,228.95,372.18
AR,Arad,Lipova,105859,0.407,0.416,0.287,0.357,0.342,0.12,1.17,1.15,89.28,70.38
TM,Timis,Sannicolau Mare,778017,0.572,0.368,0.278,0.413,0.389,0.3,0.23,0.19,208.88,117.57
SV,Suceava,Falticeni,273071,0.401,0.441,0.319,0.446,0.372,0.16,2.3,10.21,159.88,72.73
AR,Arad,Lipova,822790,0.347,0.361,0.281,0.411,0.369,0.26,3.06,3.29,174.38,117.6
CJ,Cluj,Turda,904191,0.511,0.414,0.238,0.361,0.378,0.29,0.61,0.19,549.38,392.44
TM,Timis,Timisoara,390774,0.569,0.417,0.298,0.356,0.354,0.29,0.1,1.33,152.68,206.81
GR,Giurgiu,Giurgiu,562800,0.391,0.336,0.48,0.403,0.337,0.19,2.1,11.5,250.75,13.85
VL,Valcea,Ramnicu Valcea,687327,0.42,0.429,0.39,0.328,0.401,0.3,5.58,7.47,129.45,298.51
BH,Bihor,Alesd,942344,0.356,0.455,0.354,0.411,0.38,0.2,0.95,1.71,400.41,93.38
MM,Maramures,Baia Mare,615186,0.322,0.554,0.378,0.463,0.424,0.49,1.59,0.94,422.09,184.89
TR,Teleorman,Alexandria,704107,0.404,0.392,0.405,0.349,0.336,0.2,2.52,15.68,279.33,299.98
IF,Ilfov,Chitila,942525,0.515,0.348,0.337,0.43,0.373,0.12,4.68,5.75,385.89,283.86
AB,Alba,Alba Iulia,508885,0.357,0.516,0.321,0.418,0.4,0.12,3.73,4.37,135.34,399.67
PH,Prahova,Ploiesti,685111,0.439,0.448,0.258,0.323,0.335,0.74,0.89,1.7,82.82,49.11
MS,Mures,Reghin,821332,0.323,0.552,0.26,0.436,0.451,0.76,6.96,6.56,342.36,305.72
NT,Neamt,Piatra Neamt,866017,0.336,0.535,0.34,0.419,0.452,0.35,0.55,2.19,539.76,292.54
BR,Braila,Braila,329033,0.351,0.317,0.543,0.395,0.38,0.48,4.01,5.01,443.88,16.58
BZB,Bucuresti,Sector 4,976064,0.604,0.326,0.219,0.347,0.31,0.06,1.04,1.49,294.14,181.25
CL,Calarasi,Calarasi,233131,0.411,0.331,0.409,0.39,0.347,0.15,3.96,5.31,244.43,19.9
IF,Ilfov,Voluntari,602484,0.465,0.363,0.335,0.376,0.375,0.31,2.77,3.07,515.44,212.83
BN,Bistrita-Nasaud,Nasaud,538803,0.131,0.331,0.152,0.21,0.214,0.19,0.24,18.0,392.44,74.28
DJ,Dolj,Craiova,229652,0.483,0.402,0.406,0.354,0.37,0.3,3.19,13.48,165.15,91.39
TL,Tulcea,Babadag,552611,0.459,0.254,0.689,0.688,0.312,0.2,7.5,8.81,5.37,5.34
BZB,Bucuresti,Sector 3,750918,0.583,0.299,0.211,0.349,0.359,0.09,0.1,1.41,428.51,312.27
AG,Arges,Campulung,578212,0.384,0.405,0.357,0.414,0.373,0.32,2.69,3.16,257.11,214.56
IF,Ilfov,Chitila,107692,0.419,0.339,0.394,0.39,0.316,0.18,2.51,11.19,391.21,32.71
