event_id,claim_id,county_code,county_name,city,postal_code,temperature_c,precip_mm,wind_mps,hail_size_cm
EV-0000001,CL-0000001,BV,Brasov,Fagaras,253707,5.2,0.9,3.3,0.13
EV-0000002,CL-0000002,IF,Ilfov,Voluntari,228716,30.7,7.8,4.8,0.03
EV-0000003,CL-0000003,IF,Ilfov,Voluntari,228716,19.5,6.7,1.9,0.04
EV-0000004,CL-0000004,DB,Dambovita,Targoviste,946366,2.1,1.4,0.0,0.0
EV-0000005,CL-0000005,AG,Arges,Campulung,418681,25.5,2.6,2.8,0.15
EV-0000006,CL-0000006,CL,Calarasi,Oltenita,978964,30.8,6.0,4.0,0.0
EV-0000007,CL-0000007,IL,Ialomita,Fetesti,422172,4.2,7.5,2.4,0.16
EV-0000008,CL-0000008,PH,Prahova,Campina,144248,16.9,22.5,2.2,0.8
EV-0000009,CL-0000009,IL,Ialomita,Fetesti,860304,13.0,3.4,1.5,0.0
EV-0000010,CL-0000010,PH,Prahova,Campina,368324,28.6,2.2,4.1,0.47
EV-0000011,CL-0000011,MH,Mehedinti,Drobeta-Turnu Severin,965357,-13.5,5.6,2.0,0.11
EV-0000012,CL-0000012,IF,Ilfov,Chitila,769231,4.8,4.1,2.4,0.44
EV-0000013,CL-0000013,DB,Dambovita,Targoviste,286142,20.6,9.9,4.2,0.64
EV-0000014,CL-0000014,BV,Brasov,Fagaras,588173,26.3,10.1,2.8,0.0
EV-0000015,CL-0000015,BZB,Bucuresti,Sector 4,232795,14.6,9.2,3.7,0.0
EV-0000016,CL-0000016,BZB,Bucuresti,Sector 2,336693,5.5,8.3,1.9,0.2
EV-0000017,CL-0000017,TL,Tulcea,Babadag,788582,10.8,5.8,7.1,0.16
EV-0000018,CL-0000018,MM,Maramures,Baia Mare,288921,16.2,4.3,5.2,0.0
EV-0000019,CL-0000019,MM,Maramures,Baia Mare,288921,9.4,8.5,2.3,0.0
EV-0000020,CL-0000020,IS,Iasi,Iasi,207330,22.3,1.3,4.3,0.0
EV-0000021,CL-0000021,AB,Alba,Sebes,809836,1.0,3.9,3.8,0.0
EV-0000022,CL-0000022,HD,Hunedoara,Petrosani,575214,-2.6,15.8,4.8,0.0
EV-0000023,CL-0000023,HD,Hunedoara,Petrosani,575214,10.6,21.6,3.9,1.04
EV-0000024,CL-0000024,GJ,Gorj,Motru,105027,-5.0,2.1,4.4,0.21
EV-0000025,CL-0000025,GJ,Gorj,Motru,105027,4.4,5.6,2.9,0.37
EV-0000026,CL-0000026,AB,Alba,Sebes,633896,-13.1,11.1,5.8,0.0
EV-0000027,CL-0000027,AB,Alba,Sebes,182664,13.4,2.6,4.1,0.0
EV-0000028,CL-0000028,AG,Arges,Pitesti,204759,15.8,8.7,0.0,0.07
EV-0000029,CL-0000029,VL,Valcea,Ramnicu Valcea,781953,16.2,9.9,6.9,0.0
EV-0000030,CL-0000030,CJ,Cluj,Cluj-Napoca,239859,5.6,7.2,3.0,0.0
EV-0000031,CL-0000031,BZB,Bucuresti,Sector 3,939998,-9.6,8.3,2.7,0.0
EV-0000032,CL-0000032,IF,Ilfov,Voluntari,611441,9.8,7.6,2.2,0.14
EV-0000033,CL-0000033,IF,Ilfov,Voluntari,611441,36.9,4.8,1.3,0.04
EV-0000034,CL-0000034,VN,Vrancea,Focsani,345545,-0.9,4.2,3.2,0.09
EV-0000035,CL-0000035,BZB,Bucuresti,Sector 3,299940,-0.0,19.8,5.0,0.0
EV-0000036,CL-0000036,CJ,Cluj,Cluj-Napoca,801647,19.0,1.8,1.8,0.0
EV-0000037,CL-0000037,CJ,Cluj,Cluj-Napoca,801647,10.1,5.7,4.2,0.25
EV-0000038,CL-0000038,NT,Neamt,Piatra Neamt,232592,8.0,5.0,4.8,0.0
EV-0000039,CL-0000039,CJ,Cluj,Turda,487491,3.7,10.7,3.5,1.08
EV-0000040,CL-0000040,TL,Tulcea,Tulcea,335340,-6.6,20.8,6.6,0.33
EV-0000041,CL-0000041,TL,Tulcea,Tulcea,335340,11.6,0.8,6.7,0.0
EV-0000042,CL-0000042,SM,Satu Mare,Carei,457241,9.0,9.3,3.6,0.19
EV-0000043,CL-0000043,BZB,Bucuresti,Sector 2,513970,10.9,6.7,4.0,0.0
EV-0000044,CL-0000044,BZB,Bucuresti,Sector 2,721502,-6.2,3.8,2.1,0.04
EV-0000045,CL-0000045,BZB,Bucuresti,Sector 5,284963,6.9,17.8,3.8,0.74
EV-0000046,CL-0000046,CT,Constanta,Mangalia,789599,-1.0,8.6,7.3,0.55
EV-0000047,CL-0000047,CT,Constanta,Mangalia,974207,12.8,6.4,1.4,0.0
EV-0000048,CL-0000048,AR,Arad,Lipova,312980,15.8,2.9,4.1,0.0
EV-0000049,CL-0000049,AR,Arad,Lipova,312980,3.8,6.4,1.8,0.32
EV-0000050,CL-0000050,HR,Harghita,Odorheiu Secuiesc,395836,16.6,6.1,2.3,0.12
EV-0000051,CL-0000051,BZB,Bucuresti,Sector 2,171511,12.1,10.1,4.2,0.29
EV-0000052,CL-0000052,OT,Olt,Slatina,183993,22.5,4.7,3.6,0.11
EV-0000053,CL-0000053,BZB,Bucuresti,Sector 5,639089,11.3,2.7,1.0,0.23
EV-0000054,CL-0000054,MM,Maramures,Sighetu Marmatiei,782217,4.1,6.3,3.2,0.0
EV-0000055,CL-0000055,CT,Constanta,Mangalia,612398,22.1,1.3,6.5,0.0
EV-0000056,CL-0000056,IS,Iasi,Iasi,644909,10.0,1.0,3.8,0.0
EV-0000057,CL-0000057,PH,Prahova,Sinaia,200105,5.1,8.6,6.1,0.17
EV-0000058,CL-0000058,IF,Ilfov,Otopeni,318410,37.5,12.9,4.9,0.0
EV-0000059,CL-0000059,VS,Vaslui,Husi,194324,0.8,3.9,4.3,0.18
EV-0000060,CL-0000060,AR,Arad,Ineu,408698,3.3,5.0,0.0,0.03
EV-0000061,CL-0000061,BT,Botosani,Dorohoi,666135,-1.5,1.2,6.8,0.05
EV-0000062,CL-0000062,BZB,Bucuresti,Sector 4,863812,2.8,0.6,5.3,0.0
EV-0000063,CL-0000063,BC,Bacau,Bacau,368036,4.2,5.8,2.0,0.0
EV-0000064,CL-0000064,TM,Timis,Timisoara,548507,1.7,2.7,3.1,0.08
EV-0000065,CL-0000065,CT,Constanta,Medgidia,406615,3.0,13.7,8.7,1.15
EV-0000066,CL-0000066,NT,Neamt,Roman,802530,-2.4,10.2,3.1,0.0
EV-0000067,CL-0000067,CJ,Cluj,Dej,608921,-12.5,9.3,2.8,0.0
EV-0000068,CL-0000068,IS,Iasi,Iasi,109622,13.9,8.3,1.1,0.13
EV-0000069,CL-0000069,BZB,Bucuresti,Sector 6,773851,14.0,4.0,6.2,0.27
EV-0000070,CL-0000070,BV,Brasov,Fagaras,974348,19.6,1.9,4.7,0.0
EV-0000071,CL-0000071,BZB,Bucuresti,Sector 3,365396,22.5,5.6,5.5,0.0
EV-0000072,CL-0000072,BZB,Bucuresti,Sector 1,618512,19.1,8.6,4.8,0.0
EV-0000073,CL-0000073,AG,Arges,Campulung,774036,16.1,1.1,3.9,0.04
EV-0000074,CL-0000074,BZB,Bucuresti,Sector 4,699289,-12.6,3.8,1.9,0.04
EV-0000075,CL-0000075,BZB,Bucuresti,Sector 4,699289,-10.8,5.1,0.7,0.0
EV-0000076,CL-0000076,HR,Harghita,Odorheiu Secuiesc,580196,14.6,11.1,4.7,0.0
EV-0000077,CL-0000077,IF,Ilfov,Chitila,925437,8.4,2.9,1.7,0.39
EV-0000078,CL-0000078,BZB,Bucuresti,Sector 4,608131,14.5,3.9,1.8,0.23
EV-0000079,CL-0000079,IS,Iasi,Pascani,118735,21.4,6.1,4.7,0.08
EV-0000080,CL-0000080,HD,Hunedoara,Deva,903504,2.0,2.6,3.9,0.0
EV-0000081,CL-0000081,MS,Mures,Targu Mures,250573,5.6,0.6,0.8,0.16
EV-0000082,CL-0000082,BZB,Bucuresti,Sector 1,412136,-0.1,16.3,1.8,0.0
EV-0000083,CL-0000083,MS,Mures,Targu Mures,980300,1.1,5.3,3.8,0.12
EV-0000084,CL-0000084,VS,Vaslui,Husi,232960,-1.8,5.8,7.2,0.09
EV-0000085,CL-0000085,PH,Prahova,Campina,835517,0.4,3.6,0.9,0.0
EV-0000086,CL-0000086,PH,Prahova,Campina,835517,17.1,12.9,3.5,0.0
EV-0000087,CL-0000087,PH,Prahova,Campina,835517,12.6,12.1,3.8,0.35
EV-0000088,CL-0000088,MS,Mures,Targu Mures,876799,9.8,7.7,4.0,0.0
EV-0000089,CL-0000089,CT,Constanta,Medgidia,152649,-3.0,9.1,8.4,0.07
EV-0000090,CL-0000090,TL,Tulcea,Tulcea,633039,14.6,14.9,7.2,0.13
EV-0000091,CL-0000091,CJ,Cluj,Turda,296939,20.9,26.0,1.6,1.82
EV-0000092,CL-0000092,CJ,Cluj,Turda,296939,27.6,18.4,4.7,1.22
