policy_id,customer_id,product_type,start_date,end_date,status,channel,discount_pct,gross_premium
P-000001,C-011705,auto,2024-05-09,2025-05-23,lapsed,agent,0.067,416.87
P-000002,C-004464,renters,2024-04-09,2025-01-01,active,online,0.046,102.64
P-000003,C-000888,commercial_property,2024-10-10,2025-12-13,active,agent,0.029,2408.34
P-000004,C-011698,commercial_property,2024-05-21,2025-07-12,active,agent,0.044,4139.5
P-000005,C-009508,auto,2024-01-21,2024-12-24,active,agent,0.0,334.55
P-000006,C-007957,renters,2024-05-06,2025-10-21,active,agent,0.016,125.16
P-000007,C-000190,renters,2024-11-05,2025-10-09,lapsed,online,0.05,165.53
P-000008,C-007103,auto,2024-09-20,2025-08-02,lapsed,agent,0.0,418.41
P-000009,C-008634,homeowners,2024-03-15,2025-02-23,active,online,0.02,370.81
P-000010,C-002303,homeowners,2024-12-11,2025-12-20,active,agent,0.0,344.23
P-000011,C-002240,renters,2024-01-19,2025-01-17,active,online,0.0,136.46
P-000012,C-003353,auto,2024-06-24,2025-10-10,lapsed,agent,0.016,409.01
P-000013,C-004686,homeowners,2024-05-01,2025-03-22,active,agent,0.057,245.9
P-000014,C-007011,auto,2024-10-04,2026-01-23,active,agent,0.075,295.77
P-000015,C-007969,homeowners,2024-09-14,2025-10-09,lapsed,agent,0.086,531.98
P-000016,C-006662,auto,2024-07-19,2025-09-23,active,partner,0.01,589.91
P-000017,C-008184,homeowners,2024-03-11,2024-12-04,active,agent,0.086,262.41
P-000018,C-008368,homeowners,2024-03-09,2025-08-25,active,agent,0.098,291.91
P-000019,C-005717,renters,2024-12-23,2026-06-13,active,agent,0.002,143.29
P-000020,C-001359,auto,2024-06-14,2025-11-16,active,online,0.048,262.41
P-000021,C-004159,homeowners,2024-06-12,2025-08-11,cancelled,agent,0.032,218.87
P-000022,C-009764,auto,2024-12-06,2026-01-28,active,agent,0.018,423.47
P-000023,C-008420,auto,2024-03-12,2025-02-18,active,agent,0.083,359.13
P-000024,C-000493,auto,2024-10-30,2025-05-01,active,online,0.029,590.62
P-000025,C-008483,renters,2024-09-28,2025-06-26,active,agent,0.063,97.51
P-000026,C-011250,homeowners,2024-03-11,2024-12-17,active,online,0.066,286.06
P-000027,C-011093,homeowners,2024-03-05,2024-09-08,active,online,0.063,340.74
P-000028,C-001606,commercial_property,2024-07-02,2025-04-11,active,online,0.029,1887.08
P-000029,C-004759,commercial_property,2024-10-08,2025-05-21,active,agent,0.054,1704.3
