property_id,policy_id,location_type,sprinkler_grade,building_value,contents_value,year_built,construction,area_sqm,floors,has_alarm,replacement_cost
C-000003,P-000003,warehouse,B,1528046.7,1511446.05,,,,,,
C-000004,P-000004,warehouse,None,4542946.24,81724.1,,,,,,
H-000009,P-000009,,,,,2003.0,brick,122.0,2.0,True,120124.82
H-000010,P-000010,,,,,2014.0,brick,122.0,1.0,False,101121.04
H-000013,P-000013,,,,,1976.0,brick,63.0,2.0,False,49820.57
H-000015,P-000015,,,,,1983.0,brick,179.0,1.0,True,229950.36
H-000017,P-000017,,,,,1986.0,concrete,83.0,2.0,True,56946.0
H-000018,P-000018,,,,,1966.0,brick,88.0,2.0,False,87798.24
H-000021,P-000021,,,,,1989.0,brick,40.0,1.0,True,27902.24
H-000026,P-000026,,,,,1997.0,concrete,74.0,2.0,True,75360.7
H-000027,P-000027,,,,,2010.0,concrete,124.0,1.0,False,109780.45
C-000028,P-000028,office,C,1498138.33,422830.35,,,,,,
C-000029,P-000029,factory,B,1252287.41,543816.53,,,,,,
H-000032,P-000032,,,,,1993.0,concrete,157.0,2.0,True,147428.64
C-000033,P-000033,office,A,849438.58,1291429.9,,,,,,
H-000034,P-000034,,,,,1994.0,concrete,76.0,1.0,False,66651.58
H-000036,P-000036,,,,,1993.0,concrete,141.0,2.0,False,121816.83
H-000037,P-000037,,,,,1986.0,brick,161.0,2.0,False,143267.77
H-000043,P-000043,,,,,1968.0,brick,139.0,2.0,True,148009.67
H-000045,P-000045,,,,,1999.0,brick,179.0,2.0,False,129915.38
C-000047,P-000047,warehouse,B,1270315.79,1757986.37,,,,,,
H-000048,P-000048,,,,,1973.0,brick,127.0,3.0,False,124153.88
H-000051,P-000051,,,,,1968.0,concrete,157.0,2.0,False,119924.32
H-000056,P-000056,,,,,1968.0,brick,120.0,1.0,False,121792.26
H-000061,P-000061,,,,,2005.0,concrete,71.0,2.0,False,63169.76
H-000062,P-000062,,,,,1972.0,concrete,103.0,2.0,False,98108.92
C-000066,P-000066,office,B,3276836.55,1466707.4,,,,,,
C-000067,P-000067,office,None,1243201.58,2058739.44,,,,,,
C-000071,P-000071,factory,A,433728.7,673119.77,,,,,,
H-000072,P-000072,,,,,2010.0,brick,90.0,2.0,True,92915.11
H-000075,P-000075,,,,,2023.0,brick,117.0,2.0,True,114892.89
H-000078,P-000078,,,,,1991.0,brick,113.0,2.0,False,98447.08
H-000081,P-000081,,,,,1976.0,brick,179.0,1.0,False,127127.08
H-000083,P-000083,,,,,2005.0,brick,123.0,3.0,True,90030.3
C-000084,P-000084,warehouse,None,3135513.88,626263.08,,,,,,
H-000086,P-000086,,,,,1992.0,brick,176.0,2.0,True,129704.36
H-000087,P-000087,,,,,2013.0,brick,50.0,3.0,True,49318.57
H-000088,P-000088,,,,,1989.0,brick,114.0,2.0,True,77834.37
H-000091,P-000091,,,,,1976.0,brick,122.0,1.0,False,91808.28
H-000093,P-000093,,,,,1971.0,wood,131.0,1.0,False,92857.15
H-000095,P-000095,,,,,2006.0,concrete,147.0,1.0,False,145399.32
H-000096,P-000096,,,,,1974.0,concrete,80.0,1.0,True,103024.1
C-000100,P-000100,warehouse,A,817155.14,632308.15,,,,,,
H-000104,P-000104,,,,,2019.0,brick,81.0,1.0,True,72273.79
C-000105,P-000105,office,B,4333968.97,1675630.36,,,,,,
C-000109,P-000109,warehouse,C,1364942.81,1169201.18,,,,,,
H-000112,P-000112,,,,,2010.0,concrete,131.0,1.0,True,125657.95
H-000114,P-000114,,,,,1973.0,brick,56.0,2.0,False,49059.72
H-000117,P-000117,,,,,1984.0,brick,86.0,1.0,False,62794.54
H-000118,P-000118,,,,,2008.0,concrete,133.0,1.0,False,127276.82
C-000125,P-000125,warehouse,B,1452591.92,1304947.44,,,,,,
H-000127,P-000127,,,,,2013.0,brick,68.0,1.0,True,79782.73
H-000128,P-000128,,,,,2021.0,concrete,118.0,2.0,False,109699.33
C-000130,P-000130,warehouse,C,4731631.35,1431025.61,,,,,,
C-000133,P-000133,retail,A,549972.61,1012341.21,,,,,,
H-000135,P-000135,,,,,2022.0,concrete,143.0,3.0,True,146543.88
H-000138,P-000138,,,,,1994.0,concrete,154.0,2.0,False,160467.6
H-000147,P-000147,,,,,1996.0,brick,98.0,3.0,True,96274.34
H-000149,P-000149,,,,,1981.0,concrete,62.0,1.0,False,48379.76
H-000150,P-000150,,,,,1997.0,brick,120.0,2.0,False,108608.11
H-000152,P-000152,,,,,1973.0,brick,41.0,2.0,True,33719.46
C-000154,P-000154,office,C,3842574.24,2184917.86,,,,,,
C-000156,P-000156,office,A,2671066.67,1393032.96,,,,,,
H-000157,P-000157,,,,,1998.0,concrete,162.0,1.0,False,175622.43
C-000162,P-000162,office,A,710955.26,1534063.85,,,,,,
H-000164,P-000164,,,,,1967.0,brick,52.0,3.0,False,58440.93
C-000165,P-000165,warehouse,C,1466476.26,2293486.99,,,,,,
H-000171,P-000171,,,,,1999.0,brick,40.0,1.0,True,47686.37
C-000172,P-000172,warehouse,C,3237158.01,968245.19,,,,,,
H-000174,P-000174,,,,,2015.0,brick,93.0,2.0,True,81083.79
H-000177,P-000177,,,,,1970.0,brick,40.0,1.0,True,39501.18
H-000180,P-000180,,,,,1979.0,wood,45.0,2.0,True,51467.52
C-000184,P-000184,office,C,1254984.95,2200343.46,,,,,,
H-000185,P-000185,,,,,2000.0,concrete,95.0,1.0,False,109539.96
H-000189,P-000189,,,,,1979.0,brick,76.0,1.0,True,88699.95
C-000194,P-000194,office,B,1512370.45,1784103.26,,,,,,
H-000198,P-000198,,,,,1985.0,brick,113.0,1.0,False,110799.38
C-000199,P-000199,warehouse,B,503368.78,1574036.17,,,,,,
H-000201,P-000201,,,,,1997.0,brick,81.0,3.0,True,87593.64
C-000204,P-000204,warehouse,B,771146.19,838735.97,,,,,,
H-000205,P-000205,,,,,1972.0,concrete,101.0,2.0,True,72357.99
H-000206,P-000206,,,,,2009.0,concrete,83.0,1.0,True,76392.03
H-000211,P-000211,,,,,2021.0,concrete,87.0,1.0,True,82805.15
C-000214,P-000214,retail,B,471731.04,499414.9,,,,,,
C-000216,P-000216,warehouse,A,3698323.89,172620.4,,,,,,
H-000218,P-000218,,,,,2012.0,concrete,97.0,1.0,True,107313.05
H-000221,P-000221,,,,,1991.0,brick,40.0,1.0,True,28776.62
H-000224,P-000224,,,,,1988.0,brick,99.0,1.0,False,69433.37
H-000226,P-000226,,,,,1974.0,brick,104.0,3.0,True,62113.87
C-000234,P-000234,warehouse,B,304281.02,1437713.84,,,,,,
H-000237,P-000237,,,,,1993.0,wood,74.0,2.0,False,77518.47
H-000238,P-000238,,,,,1989.0,brick,178.0,2.0,True,168531.68
H-000239,P-000239,,,,,1977.0,brick,101.0,2.0,True,76875.97
H-000241,P-000241,,,,,1978.0,wood,144.0,1.0,False,119740.41
H-000243,P-000243,,,,,1965.0,brick,179.0,1.0,False,175602.85
C-000244,P-000244,warehouse,C,2572333.13,1049953.26,,,,,,
H-000249,P-000249,,,,,1993.0,concrete,142.0,1.0,True,100076.3
H-000251,P-000251,,,,,1970.0,brick,89.0,2.0,False,80032.31
C-000252,P-000252,warehouse,C,377191.1,918938.21,,,,,,
H-000253,P-000253,,,,,1980.0,brick,118.0,1.0,False,96960.37
C-000256,P-000256,warehouse,A,4064811.38,1572965.49,,,,,,
