unit_id,policy_id,personal_property_limit,roommates_count,building_type
R-000002,P-000002,15000.0,2,block
R-000006,P-000006,25000.0,1,block
R-000007,P-000007,35000.0,2,block
R-000011,P-000011,25000.0,1,block
R-000019,P-000019,25000.0,2,block
R-000025,P-000025,15000.0,1,block
R-000031,P-000031,25000.0,1,block
R-000038,P-000038,25000.0,2,block
R-000039,P-000039,25000.0,0,block
R-000040,P-000040,35000.0,0,block
R-000042,P-000042,15000.0,0,block
R-000058,P-000058,15000.0,1,block
R-000060,P-000060,25000.0,1,house
R-000073,P-000073,50000.0,1,block
R-000077,P-000077,35000.0,0,block
R-000085,P-000085,35000.0,1,block
R-000098,P-000098,25000.0,1,block
R-000099,P-000099,25000.0,0,block
R-000103,P-000103,25000.0,1,block
R-000110,P-000110,50000.0,0,block
R-000126,P-000126,25000.0,0,block
R-000129,P-000129,35000.0,2,block
R-000159,P-000159,50000.0,2,block
R-000160,P-000160,35000.0,2,house
R-000169,P-000169,15000.0,2,block
R-000176,P-000176,25000.0,0,block
R-000182,P-000182,15000.0,0,block
R-000192,P-000192,25000.0,0,house
R-000209,P-000209,25000.0,0,block
R-000222,P-000222,35000.0,2,block
R-000231,P-000231,15000.0,1,house
R-000232,P-000232,25000.0,0,block
R-000233,P-000233,25000.0,1,block
R-000240,P-000240,15000.0,1,block
R-000242,P-000242,25000.0,1,block
R-000245,P-000245,35000.0,0,block
R-000246,P-000246,50000.0,1,block
R-000248,P-000248,35000.0,1,block
R-000254,P-000254,50000.0,1,block
R-000260,P-000260,15000.0,2,house
R-000264,P-000264,25000.0,1,block
R-000276,P-000276,15000.0,2,house
R-000280,P-000280,15000.0,1,block
R-000282,P-000282,25000.0,1,block
R-000292,P-000292,25000.0,0,block
R-000295,P-000295,35000.0,0,house
R-000296,P-000296,25000.0,1,block
R-000303,P-000303,35000.0,0,house
R-000306,P-000306,25000.0,2,block
R-000310,P-000310,35000.0,0,block
R-000318,P-000318,35000.0,2,block
R-000335,P-000335,25000.0,2,block
R-000345,P-000345,15000.0,0,block
R-000350,P-000350,15000.0,0,block
R-000367,P-000367,15000.0,2,block
R-000368,P-000368,50000.0,2,block
R-000390,P-000390,50000.0,0,house
R-000420,P-000420,15000.0,2,block
R-000431,P-000431,35000.0,0,block
R-000437,P-000437,15000.0,2,block
R-000443,P-000443,35000.0,2,house
R-000449,P-000449,35000.0,1,block
R-000455,P-000455,25000.0,0,block
R-000466,P-000466,25000.0,1,house
R-000490,P-000490,25000.0,0,block
R-000491,P-000491,35000.0,2,block
R-000492,P-000492,25000.0,0,house
R-000496,P-000496,25000.0,2,block
R-000504,P-000504,15000.0,0,block
R-000507,P-000507,35000.0,1,block
R-000514,P-000514,35000.0,2,house
R-000519,P-000519,35000.0,2,block
R-000521,P-000521,25000.0,1,block
R-000526,P-000526,25000.0,2,block
R-000534,P-000534,15000.0,2,block
R-000541,P-000541,15000.0,1,house
R-000548,P-000548,25000.0,2,block
R-000551,P-000551,15000.0,1,block
R-000554,P-000554,25000.0,0,block
R-000566,P-000566,35000.0,0,block
R-000585,P-000585,25000.0,1,block
R-000589,P-000589,50000.0,0,house
R-000609,P-000609,35000.0,1,block
R-000613,P-000613,15000.0,1,block
R-000620,P-000620,35000.0,2,block
R-000645,P-000645,25000.0,2,block
R-000650,P-000650,25000.0,0,block
R-000666,P-000666,35000.0,1,block
R-000669,P-000669,25000.0,1,block
R-000688,P-000688,25000.0,1,block
R-000691,P-000691,25000.0,2,block
R-000700,P-000700,25000.0,0,block
R-000710,P-000710,35000.0,1,block
R-000719,P-000719,50000.0,1,block
R-000724,P-000724,15000.0,0,block
R-000727,P-000727,35000.0,0,block
R-000728,P-000728,25000.0,0,block
R-000732,P-000732,35000.0,1,block
R-000735,P-000735,35000.0,2,block
R-000767,P-000767,50000.0,0,block
R-000778,P-000778,35000.0,2,house
R-000780,P-000780,25000.0,0,block
R-000787,P-000787,25000.0,0,block
R-000788,P-000788,25000.0,0,block
R-000804,P-000804,25000.0,2,block
R-000805,P-000805,25000.0,2,block
R-000807,P-000807,25000.0,0,house
R-000814,P-000814,15000.0,2,house
R-000819,P-000819,15000.0,2,block
R-000827,P-000827,25000.0,2,block
R-000836,P-000836,25000.0,1,block
R-000839,P-000839,15000.0,1,block
R-000840,P-000840,50000.0,2,house
R-000845,P-000845,15000.0,0,block
R-000847,P-000847,25000.0,2,block
R-000851,P-000851,35000.0,0,house
R-000859,P-000859,25000.0,1,house
R-000860,P-000860,50000.0,2,block
R-000862,P-000862,35000.0,0,house
R-000873,P-000873,25000.0,1,block
R-000882,P-000882,15000.0,2,block
R-000897,P-000897,35000.0,2,block
R-000898,P-000898,15000.0,2,block
R-000900,P-000900,15000.0,2,block
R-000923,P-000923,15000.0,1,block
R-000930,P-000930,25000.0,2,block
R-000939,P-000939,35000.0,0,block
R-000940,P-000940,35000.0,0,block
R-000947,P-000947,15000.0,1,block
R-000950,P-000950,50000.0,1,block
R-000974,P-000974,15000.0,1,house
R-000975,P-000975,15000.0,0,block
R-000978,P-000978,25000.0,0,block
R-000983,P-000983,35000.0,0,block
R-001001,P-001001,50000.0,0,block
R-001002,P-001002,15000.0,2,block
R-001005,P-001005,25000.0,0,block
R-001007,P-001007,35000.0,1,house
R-001013,P-001013,25000.0,0,block
R-001019,P-001019,50000.0,2,block
R-001022,P-001022,15000.0,2,house
R-001024,P-001024,25000.0,2,block
R-001040,P-001040,35000.0,1,block
R-001042,P-001042,25000.0,0,block
R-001045,P-001045,25000.0,1,block
R-001057,P-001057,35000.0,0,house
R-001060,P-001060,35000.0,2,block
R-001065,P-001065,35000.0,1,house
R-001067,P-001067,50000.0,0,house
R-001076,P-001076,25000.0,0,block
