vehicle_id,policy_id,make,model,year,annual_mileage,telematics_score,night_driving_pct,hard_brakes_per_100km,overspeed_events_per_100km,phone_use_pct
V-000001,P-000001,Dacia,Logan,2006,12614,55.2,0.305,11.4,1.8,0.329
V-000005,P-000005,Toyota,RAV4,2009,7108,76.0,0.279,5.4,4.5,0.186
V-000008,P-000008,Volkswagen,Golf,2023,10913,55.4,0.406,6.3,2.9,0.165
V-000012,P-000012,Toyota,RAV4,2005,12351,70.5,0.145,2.1,0.7,0.657
V-000014,P-000014,Renault,Captur,2009,6242,79.4,0.396,2.2,6.4,0.148
V-000016,P-000016,Dacia,Sandero,2024,24458,67.4,0.286,0.5,2.0,0.213
V-000020,P-000020,Renault,Captur,2020,2508,73.1,0.094,4.7,2.6,0.354
V-000022,P-000022,Volkswagen,Passat,2024,16064,84.6,0.281,1.3,2.8,0.542
V-000023,P-000023,Dacia,Duster,2013,10353,64.5,0.127,2.0,0.4,0.356
V-000024,P-000024,Volkswagen,Golf,2021,24061,61.5,0.169,0.7,3.7,0.162
V-000030,P-000030,Renault,Megane,2023,11074,64.1,0.412,1.5,0.3,0.356
V-000035,P-000035,Toyota,RAV4,2023,11994,71.4,0.091,0.5,4.3,0.188
V-000041,P-000041,Toyota,Yaris,2005,8988,77.9,0.421,5.5,1.2,0.216
V-000044,P-000044,Toyota,Yaris,2015,12306,72.4,0.342,7.9,0.2,0.232
V-000046,P-000046,Renault,Clio,2012,13200,74.3,0.156,6.0,5.5,0.1
V-000049,P-000049,Dacia,Logan,2020,17957,66.9,0.069,6.9,1.6,0.218
V-000050,P-000050,Skoda,Superb,2014,16701,73.3,0.453,5.5,2.7,0.206
V-000052,P-000052,Volkswagen,Polo,2017,22361,91.2,0.273,19.4,0.7,0.423
V-000053,P-000053,Toyota,Yaris,2015,12286,71.6,0.125,3.2,0.3,0.673
V-000054,P-000054,Toyota,Yaris,2016,11885,62.8,0.271,1.9,5.7,0.21
V-000055,P-000055,Volkswagen,Golf,2005,24884,80.8,0.121,5.6,3.6,0.18
V-000057,P-000057,Dacia,Logan,2014,14942,71.7,0.116,2.3,4.7,0.284
V-000059,P-000059,Skoda,Superb,2018,16211,84.2,0.304,4.6,0.6,0.251
V-000063,P-000063,Skoda,Superb,2018,2000,73.6,0.672,2.0,4.5,0.41
V-000064,P-000064,Dacia,Duster,2012,13198,49.8,0.154,7.1,0.7,0.293
V-000065,P-000065,Renault,Clio,2014,12751,72.0,0.341,5.5,1.8,0.197
V-000068,P-000068,Volkswagen,Polo,2007,21952,61.7,0.268,7.6,0.5,0.287
V-000069,P-000069,Renault,Clio,2017,19017,74.8,0.403,2.2,2.4,0.264
V-000070,P-000070,Toyota,Corolla,2016,4843,59.3,0.493,2.6,2.6,0.123
V-000074,P-000074,Renault,Megane,2013,4927,61.4,0.417,1.7,6.0,0.464
V-000076,P-000076,Volkswagen,Polo,2010,27495,65.8,0.12,1.8,0.8,0.48
V-000079,P-000079,Toyota,RAV4,2006,15162,75.3,0.351,5.1,0.8,0.037
V-000080,P-000080,Skoda,Octavia,2017,19681,62.0,0.27,6.1,1.1,0.147
V-000082,P-000082,Toyota,Corolla,2021,22138,53.0,0.216,7.6,0.5,0.163
V-000089,P-000089,Dacia,Logan,2021,22088,67.7,0.191,10.4,2.4,0.064
V-000090,P-000090,Skoda,Fabia,2016,10765,67.5,0.255,1.8,5.6,0.304
V-000092,P-000092,Dacia,Duster,2022,8197,94.7,0.31,1.2,4.5,0.17
V-000094,P-000094,Toyota,Yaris,2016,14982,38.7,0.386,2.4,0.5,0.118
